authorized_flag,card_id,city_id,category_1,installments,category_3,merchant_category_id,merchant_id,month_lag,purchase_amount,purchase_date,category_2,state_id,subsector_id
Y,C_ID_ef55cf8d4b,69,N,1,B,307,M_ID_51757498fd,1,-0.67177524,2018-03-11 12:38:56,1.00000000,9,19
Y,C_ID_ef55cf8d4b,69,N,1,B,560,M_ID_a1183a4e5e,2,-0.69022779,2018-04-22 15:00:27,1.00000000,9,34
Y,C_ID_ef55cf8d4b,231,N,3,C,333,M_ID_f74d9cbbd0,1,0.75137067,2018-03-01 14:26:52,1.00000000,9,10
Y,C_ID_ef55cf8d4b,231,N,1,B,369,M_ID_f0bf60c061,1,-0.34329569,2018-03-22 09:57:23,1.00000000,9,27
Y,C_ID_ef55cf8d4b,231,N,1,B,278,M_ID_2ae6547567,1,-0.65488544,2018-03-20 10:37:33,1.00000000,9,37
Y,C_ID_ef55cf8d4b,-1,Y,3,C,491,M_ID_79692349d6,1,3.00972015,2018-03-30 20:05:54,,-1,3
Y,C_ID_ef55cf8d4b,231,N,1,B,360,M_ID_532b2abc39,2,-0.43225264,2018-04-06 13:28:22,1.00000000,9,34
Y,C_ID_ef55cf8d4b,69,N,2,C,87,M_ID_99c89d936e,1,-0.35772114,2018-03-24 14:58:30,1.00000000,9,27
Y,C_ID_ef55cf8d4b,-1,Y,12,C,690,M_ID_3111c6df35,1,2.12614623,2018-03-03 11:40:58,,-1,1
Y,C_ID_ef55cf8d4b,69,N,1,B,195,M_ID_7fc4685211,1,-0.70483356,2018-03-17 12:32:31,1.00000000,9,34
Y,C_ID_241a01e9d9,69,N,3,C,884,M_ID_7c26306ee3,2,-0.46170460,2018-04-22 19:19:08,1.00000000,9,27
Y,C_ID_241a01e9d9,188,N,6,C,690,M_ID_7c7d14fd19,2,-0.29476006,2018-04-22 19:34:11,1.00000000,9,1
Y,C_ID_a97720321f,69,N,0,A,419,M_ID_7064a8aa68,1,-0.20237706,2018-03-02 12:06:23,1.00000000,9,1
Y,C_ID_a97720321f,69,N,0,A,705,M_ID_1f4773aa76,1,0.75574338,2018-03-03 12:14:58,1.00000000,9,33
Y,C_ID_a97720321f,69,N,0,A,422,M_ID_d92a9746f1,1,-0.59679294,2018-03-01 16:28:05,1.00000000,9,27
Y,C_ID_a97720321f,69,N,0,A,879,M_ID_00a6ca8a8a,2,-0.52151012,2018-04-13 18:45:08,1.00000000,9,29
Y,C_ID_a97720321f,69,N,0,A,2,M_ID_42e45dc653,1,-0.46140407,2018-03-02 09:30:52,1.00000000,9,20
Y,C_ID_a97720321f,246,N,0,A,307,M_ID_d353d59d3f,2,-0.46684367,2018-04-13 18:59:07,3.00000000,1,19
Y,C_ID_a97720321f,69,N,0,A,278,M_ID_0ddc5ce867,1,-0.70361641,2018-03-03 11:58:44,1.00000000,9,37
Y,C_ID_a97720321f,69,N,0,A,840,M_ID_d984b94f54,1,-0.44788021,2018-03-02 06:00:35,1.00000000,9,20
Y,C_ID_a97720321f,69,N,0,A,884,M_ID_1abfe450d5,1,-0.21046132,2018-03-01 16:11:36,1.00000000,9,27
Y,C_ID_a97720321f,69,N,0,A,248,M_ID_66adcdcb21,1,-0.71813203,2018-03-01 14:21:53,1.00000000,9,8
Y,C_ID_a97720321f,69,N,0,A,437,M_ID_34f363f2f8,1,-0.27627745,2018-03-02 10:11:22,1.00000000,9,15
Y,C_ID_a97720321f,69,N,0,A,278,M_ID_1b3dbfbaec,1,-0.66531384,2018-03-01 13:50:07,1.00000000,9,37
Y,C_ID_fb0875cd28,271,N,0,A,307,M_ID_687693a28e,1,-0.67177524,2018-03-05 15:16:31,1.00000000,9,19
Y,C_ID_fb0875cd28,140,N,0,A,705,M_ID_274f488e7c,1,-0.64370571,2018-03-15 13:02:12,1.00000000,9,33
Y,C_ID_fb0875cd28,271,N,0,A,309,M_ID_515b5c23a0,2,-0.70783886,2018-04-13 08:20:38,1.00000000,9,21
Y,C_ID_fb0875cd28,271,N,0,A,357,M_ID_a51260f5a6,2,-0.71234682,2018-04-19 12:50:40,1.00000000,9,27
Y,C_ID_fb0875cd28,140,N,0,A,518,M_ID_0bde232c50,1,-0.62489252,2018-03-15 08:16:00,1.00000000,9,27
Y,C_ID_fb0875cd28,69,N,0,A,497,M_ID_725a60d404,2,-0.69281235,2018-04-04 12:11:46,1.00000000,9,27
Y,C_ID_fb0875cd28,331,N,0,A,274,M_ID_3b3ec0f162,1,-0.56508700,2018-03-16 08:32:37,1.00000000,9,36
Y,C_ID_8c9ba46f19,69,N,0,A,561,M_ID_50f575c681,2,0.86255183,2017-12-24 15:25:30,1.00000000,9,7
Y,C_ID_8c9ba46f19,4,N,0,A,690,M_ID_f85d6b0a06,2,-0.72286538,2017-12-14 21:22:11,2.00000000,10,1
Y,C_ID_8c9ba46f19,17,N,0,A,195,M_ID_65c0452e8c,1,1.05627362,2017-11-12 00:00:00,4.00000000,22,34
Y,C_ID_8c9ba46f19,17,N,0,A,278,M_ID_59ec08b5f6,1,-0.36858531,2017-11-12 17:01:26,4.00000000,22,37
Y,C_ID_8c9ba46f19,17,N,0,A,2,,2,1.59722804,2017-12-19 08:07:34,4.00000000,22,20
Y,C_ID_8c9ba46f19,4,N,0,A,278,M_ID_c3294a6c4b,2,-0.67177524,2017-12-14 11:39:08,2.00000000,10,37
Y,C_ID_8c9ba46f19,4,N,0,A,454,M_ID_0a9ad8a715,2,-0.63871691,2017-12-14 00:40:57,2.00000000,10,39
Y,C_ID_8c9ba46f19,4,N,0,A,80,M_ID_64c00d1e60,2,-0.69281235,2017-12-12 04:42:32,2.00000000,10,37
Y,C_ID_8c9ba46f19,17,N,0,A,454,M_ID_1516e4c882,2,-0.62669570,2017-12-12 09:26:02,4.00000000,22,39
Y,C_ID_8c9ba46f19,17,N,0,A,607,M_ID_4748aadbf3,2,0.37973498,2017-12-24 12:19:52,4.00000000,22,29
Y,C_ID_8c9ba46f19,4,N,0,A,705,M_ID_d422b95fce,2,-0.63674844,2017-12-14 19:11:53,2.00000000,10,33
Y,C_ID_8c9ba46f19,17,N,0,A,130,M_ID_3676bcbee1,2,-0.61166919,2017-12-16 11:57:17,4.00000000,22,41
Y,C_ID_8c9ba46f19,17,N,0,A,80,M_ID_235fba1cce,1,-0.65524607,2017-11-22 17:05:01,4.00000000,22,37
Y,C_ID_8c9ba46f19,17,N,0,A,278,M_ID_a521004606,2,-0.04204418,2017-12-30 22:33:19,4.00000000,22,37
Y,C_ID_8c9ba46f19,107,N,0,A,307,M_ID_a8fba52889,1,-0.52151012,2017-11-15 00:00:00,4.00000000,4,19
Y,C_ID_8c9ba46f19,17,N,0,A,248,M_ID_822309aed1,2,0.39008825,2017-12-28 14:56:47,4.00000000,22,8
Y,C_ID_8c9ba46f19,17,N,0,A,793,M_ID_c24b66dec7,2,1.41690990,2017-12-22 15:47:35,4.00000000,22,38
Y,C_ID_8c9ba46f19,17,N,0,A,434,M_ID_0c9c0f995f,1,2.85945504,2017-11-14 19:14:45,4.00000000,22,32
Y,C_ID_8c9ba46f19,17,N,0,A,367,M_ID_aebc816995,1,-0.61752953,2017-11-21 21:36:00,4.00000000,22,16
Y,C_ID_8c9ba46f19,17,N,0,A,307,M_ID_67f63303fc,1,-0.35337848,2017-11-11 00:00:00,4.00000000,22,19
Y,C_ID_8c9ba46f19,17,N,0,A,560,M_ID_c50d5d8042,1,-0.72061140,2017-11-21 21:33:49,4.00000000,22,34
Y,C_ID_8c9ba46f19,17,N,0,A,278,M_ID_787118d4d4,2,-0.24772707,2017-12-23 23:05:21,4.00000000,22,37
Y,C_ID_8c9ba46f19,17,N,0,A,360,M_ID_9000765cad,1,-0.01361402,2017-11-11 00:00:00,4.00000000,22,34
Y,C_ID_8c9ba46f19,107,N,0,A,818,M_ID_0d62d8ac27,1,-0.71986007,2017-11-15 00:00:00,4.00000000,4,12
Y,C_ID_8c9ba46f19,17,N,0,A,278,M_ID_156243230b,2,-0.59716861,2017-12-31 15:18:32,4.00000000,22,37
Y,C_ID_8c9ba46f19,17,N,0,A,278,M_ID_0851298221,2,-0.64855928,2017-12-26 11:54:48,4.00000000,22,37
Y,C_ID_8c9ba46f19,107,N,0,A,278,M_ID_39833009b5,1,-0.68830440,2017-11-15 18:29:27,4.00000000,4,37
Y,C_ID_8c9ba46f19,17,N,0,A,307,M_ID_109a493327,2,-0.36319079,2017-12-12 08:07:24,4.00000000,22,19
Y,C_ID_8c9ba46f19,107,N,0,A,818,M_ID_0d62d8ac27,1,-0.68229379,2017-11-15 00:00:00,4.00000000,4,12
Y,C_ID_7e64479fbb,223,N,0,A,383,M_ID_fde06ecdf2,1,-0.53653663,2018-02-07 10:00:14,5.00000000,21,2
Y,C_ID_7e64479fbb,223,N,0,A,80,M_ID_e96051e426,1,-0.70874046,2018-02-18 19:15:55,5.00000000,21,37
Y,C_ID_7e64479fbb,333,N,0,A,367,M_ID_4e7024c4f8,2,-0.70486362,2018-03-17 21:16:37,5.00000000,21,16
Y,C_ID_7e64479fbb,264,N,0,A,307,M_ID_2a6af4fe53,2,-0.66501331,2018-03-07 17:25:04,2.00000000,18,19
Y,C_ID_7e64479fbb,223,N,0,A,437,M_ID_cdb87c1fdf,1,-0.74203921,2018-02-14 16:58:14,5.00000000,21,15
Y,C_ID_7e64479fbb,160,N,0,A,278,M_ID_456c29b4e8,2,-0.59930237,2018-03-27 23:53:33,5.00000000,21,37
Y,C_ID_7e64479fbb,160,N,0,A,278,M_ID_48f6068490,1,-0.63871691,2018-02-27 21:53:34,5.00000000,21,37
Y,C_ID_7e64479fbb,160,N,0,A,422,M_ID_755c2055fe,2,-0.37126003,2018-03-23 13:54:13,5.00000000,21,27
Y,C_ID_7e64479fbb,223,N,0,A,19,M_ID_80c4fc2809,1,-0.51109675,2018-02-07 11:34:32,5.00000000,21,36
Y,C_ID_7e64479fbb,333,N,0,A,278,M_ID_70ce390060,1,-0.65930323,2018-02-13 19:32:10,1.00000000,9,37
Y,C_ID_7e64479fbb,223,N,0,A,690,M_ID_dc5e6345b3,2,-0.73188128,2018-03-28 16:42:03,5.00000000,21,1
Y,C_ID_7e64479fbb,223,N,0,A,307,M_ID_87d1a8c459,1,-0.59664268,2018-02-04 01:33:04,5.00000000,21,19
Y,C_ID_7e64479fbb,264,N,0,A,367,M_ID_aa2d372c58,1,-0.71688482,2018-02-23 20:34:30,2.00000000,18,16
Y,C_ID_7e64479fbb,223,N,0,A,80,M_ID_d419404204,2,-0.72812466,2018-03-04 17:10:54,5.00000000,21,37
Y,C_ID_7e64479fbb,160,N,0,A,45,M_ID_c8714e60a4,2,-0.37124500,2018-03-14 08:30:37,5.00000000,21,18
Y,C_ID_7e64479fbb,223,N,0,A,422,M_ID_16de6b724d,1,-0.57124787,2018-02-17 11:25:23,5.00000000,21,27
Y,C_ID_0a6ceeffcc,143,N,0,A,278,M_ID_49d35a5b24,2,-0.71354894,2017-12-09 11:37:54,5.00000000,5,37
Y,C_ID_0a6ceeffcc,143,N,0,A,705,M_ID_f9b32cfc49,2,-0.73940957,2017-12-16 15:25:52,5.00000000,5,33
Y,C_ID_0a6ceeffcc,333,N,0,A,544,M_ID_40fa1641fb,2,-0.71084417,2017-12-22 13:52:37,1.00000000,9,29
Y,C_ID_0a6ceeffcc,143,N,0,A,560,M_ID_a581126f45,2,-0.70949178,2017-12-09 18:40:38,5.00000000,5,34
Y,C_ID_0a6ceeffcc,143,N,0,A,68,M_ID_3dab3fd564,1,-0.67327789,2017-11-24 00:00:00,5.00000000,5,27
Y,C_ID_0a6ceeffcc,169,N,0,A,683,M_ID_312646f806,1,-0.72902625,2017-11-17 18:01:41,5.00000000,20,34
Y,C_ID_0a6ceeffcc,143,N,0,A,278,M_ID_0f6a955e5a,1,-0.70355631,2017-11-29 15:27:49,5.00000000,5,37
Y,C_ID_0a6ceeffcc,143,N,0,A,884,,1,-0.59667273,2017-11-24 00:00:00,5.00000000,5,27
